slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred
alchemy-sepolia-faucet,!provider:alchemy-faucet,"[""[Faucet](https://www.alchemy.com/faucets/arbitrum-sepolia)""]",sepolia,,,,,,,,
chainlink-sepolia-faucet-eth,!provider:chainlink-faucet,"[""[Faucet](https://faucets.chain.link/arbitrum-sepolia)""]",sepolia,,,,,,,,
circle-faucet-usdc,!provider:circle-faucet-usdc,,sepolia,,,,,,,,
ethglobal-sepolia-faucet,!provider:ethglobal-faucet,"[""[Faucet](https://ethglobal.com/faucet/arbitrum-sepolia-421614)""]",sepolia,,,,,,,,
getblock-sepolia-faucet,!provider:getblock-faucet,"[""[Faucet](https://getblock.io/faucet/arb-sepolia/)""]",sepolia,,,,,0.1 ETH,,,
learnweb3-sepolia-faucet,!provider:learnweb3-faucet,"[""[Faucet](https://learnweb3.io/faucets/arbitrum_sepolia/)""]",sepolia,,,,,,,,
quicknode-sepolia-faucet,!provider:quicknode-faucet,"[""[Faucet](https://faucet.quicknode.com/arbitrum/sepolia)""]",sepolia,,,,,0.05 ETH,,,
stakely-mainnet-faucet,!provider:stakely-faucet,"[""[Faucet](https://stakely.io/faucet/arbitrum-eth)""]",mainnet,,,,,0.000005 ETH,,,
thirdweb-sepolia-faucet,!provider:thirdweb-faucet,"[""[Faucet](https://thirdweb.com/arbitrum-sepolia)""]",sepolia,,,,,0.01 ETH,,,
