slug,provider,actionButtons,chain,technology,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,availableApis,monitoringAndAnalytics,additionalFeatures,auditsPerformed,starred
api3-mainnet,!provider:api3,"[""[Website](https://market.api3.org/sonic)""]",mainnet,,,,,,,,,,,
api3-testnet,!provider:api3,"[""[Website](https://market.api3.org/sonic-testnet)""]",testnet,,,,,,,,,,,
band-mainnet,!provider:band,"[""[Docs](https://docs.bandchain.org/develop/supported-blockchains/)""]",mainnet,,,,,,,,,,,
band-testnet,!provider:band,"[""[Docs](https://docs.bandchain.org/develop/supported-blockchains/)""]",testnet,,,,,,,,,,,
chainlink-mainnet,!provider:chainlink,"[""[Docs](https://docs.chain.link/ccip/directory/mainnet/chain/sonic-mainnet)""]",mainnet,,,,,,,,,,,
chainlink-testnet,!provider:chainlink,"[""[Docs](https://docs.chain.link/ccip/directory/testnet/chain/sonic-testnet-blaze)""]",testnet,,,,,,,,,,,
dia-mainnet,!provider:dia,"[""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/sonic#additional-details)""]",mainnet,,,,,,,,,,,
pyth-mainnet,!provider:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/evm#mainnets)""]",mainnet,,,,,,,,,,,
pyth-testnet,!provider:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/evm#testnets)""]",testnet,,,,,,,,,,,
supra-mainnet,!provider:supra,"[""[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle/networks)""]",mainnet,,,,,,,,,,,
supra-testnet,!provider:supra,"[""[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle/networks)""]",testnet,,,,,,,,,,,
