slug,provider,actionButtons,toolType,tag,price,planType,planName,description,starred
blueprint,Blueprint,"[""[Website](https://github.com/ton-org/blueprint)""]",Framework,"[""Smart Contract Framework"",""Tact"",""FunC"",""Testing""]",$0,Free,,"The official development environment for writing, testing, and deploying smart contracts on TON. Similar to Hardhat but for the TVM",FALSE
tact-lang,Tact,"[""[Website](https://tact-lang.org/)"",""[Docs](https://docs.tact-lang.org/)""]",SDK,"[""Smart Contracts"",""Language"",""High-Level""]",$0,Free,,"A new, high-level programming language for TON smart contracts that is strongly typed and designed to be familiar to TypeScript/Rust developers",FALSE
func-lang,FunC,"[""[Docs](https://docs.ton.org/develop/func/overview)""]",SDK,"[""Smart Contracts"",""Language"",""Low-Level""]",$0,Free,,"The lower-level, C-like programming language used to write raw smart contracts for the TON Virtual Machine (TVM)",FALSE
ton-connect-sdk,TonConnect SDK,"[""[Website](https://ton-connect.github.io/sdk/)""]",SDK,"[""Wallet Connect"",""Frontend"",""Authentication""]",$0,Free,,"The standard protocol and SDK for connecting TON wallets to decentralized applications (dApps), replacing standard WalletConnect in the TON ecosystem",FALSE
ton-sandbox,Ton Sandbox,"[""[Website](https://github.com/ton-org/sandbox)""]",Testing and debugging,"[""Local Blockchain"",""Testing"",""Debug""]",$0,Free,,A tool that allows developers to run a local instance of the TON blockchain for rapid smart contract testing and debugging,FALSE
jetbrains-intellij-ton,IntelliJ TON Plugin,"[""[Website](https://plugins.jetbrains.com/plugin/18541-ton)""]",Tool,"[""IDE"",""Syntax Highlighting"",""FunC"",""Tact""]",$0,Free,,"The official IntelliJ/IDEA plugin providing syntax highlighting, code completion, and tool integration for FunC and Tact development",FALSE
orbs-ton-access,Orbs TON Access,"[""[Docs](https://docs.orbs.network/v3)""]",Tool,"[""Infrastructure"",""Decentralized""]",$0,Free,,"A decentralized infrastructure layer that provides reliable, unrestricted  access to the TON network via a network of guardian nodes",FALSE
toncli,TON CLI,"[""[Website](https://github.com/disintar/toncli)""]",CLI,"[""Smart Contracts"",""FunC"",""CLI"",""Deployment""]",$0,Free,,"A command-line interface for compiling, testing, and deploying FunC smart contracts on the TON blockchain, commonly used in low-level TON development workflows",FALSE
fift-lang,Fift,"[""[Docs](https://blog.ton.org/introduction-to-fift)""]",SDK,"[""Smart Contracts"",""Language"",""Low-Level"",""TVM""]",$0,Free,,"A low-level stack-based programming language for the TON Virtual Machine (TVM), primarily used for tooling, scripts, and advanced contract development",FALSE
ton-lite-client,TON Lite Client,"[""[Website](https://github.com/ton-core/ton-lite-client)""]",Tool,"[""Node"",""Infrastructure"",""Lite Client""]",$0,Free,,"The official lightweight client for interacting directly with the TON blockchain, forming the underlying protocol used by most TON RPC and API providers",FALSE
ton-connect-ui,TON Connect UI,"[""[Docs](https://docs.ton.org/ecosystem/ton-connect/overview)""]",SDK,"[""Wallet Connect"",""UI"",""Frontend"",""Authentication""]",$0,Free,,Official UI components and helpers built on top of TON Connect that simplify wallet connection flows and transaction approval UX for TON dApps,FALSE
telegram-mini-apps-sdk,Telegram Mini Apps,"[""[Website](https://github.com/telegram-mini-apps)""]",SDK,"[""Telegram"",""Mini Apps"",""Payments"",""TON""]",$0,Free,,The official Telegram Mini Apps SDK enabling developers to build in-app experiences with native TON wallet connectivity and blockchain-based payments,FALSE
